Comment,Designator,Footprint
WS2812B,"D1, D2",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm
Polyfuse_Small,F1,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder
5.1k,"R4, R5",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
22,"R3, R2",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
MX_SW_HS,"SW3, SW2",SW_MX_HS_1u
10k,"R6, R1",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
0.1uF,"C4, C5, C7, C8",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
14pF,"C3, C2",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
PRTR5V0U2X,U2,SOT143B
SW_Push,SW1,SKQGADE010
ATmega32U2-A,U1,TQFP-32_7x7mm_P0.8mm
1uF,C1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
Crystal_GND24_Small,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering
HRO-TYPE-C-31-M-12,USB1,HRO-TYPE-C-31-M-12-HandSoldering
10uF,C6,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
